"sous_corpus","expression","Phrase(s)"
"Sequoia","se poser question","§ ['me', 'pose', 'questions'] : Je me pose également des questions quant à la sagesse de l'EU et sa réaction à la formation du gouvernement en Autriche et la manière dont cela affectera l'opinion publique là-bas.  § ['me', 'pose', 'questions'] : Toutefois, je me pose des questions quant à la pertinence de cela."
"Sequoia","entrer en vigueur","§ ['entré', 'en', 'vigueur'] : Aux États-Unis, le traité de l'OMPI est déjà entré en vigueur au moyen du Digital Millenium Corporate Act et cette mesure législative a permis de sauvegarder l'équilibre délicat de l'OMPI."
"Sequoia","se demander","§ ['nous', 'demander'] : Nous ne pouvons nous demander ce qu'il adviendra du Kosovo.  § ['me', 'demande'] : Je me demande vraiment si le Conseil possède encore un minimum d'humanité !  § ['nous', 'demandons'] : Nous nous demandons si cela n'attise pas le feu de la xénophobie, ainsi que les partis et les personnes en sont les partisans."
"Sequoia","il y avoir","§ ['Il', 'y', 'a'] : Il n'y a aucun motif pour qu'ils y soient.  § ['Il', 'y', 'a'] : Il n'y a plus de mots pour condamner non seulement les assassins mais également ceux qui les soutiennent politiquement.  § ['il', 'y', 'a'] : Lorsque les représentants de l'ordre se présentent sur les lieux, il n'y a plus trace de la moindre bagarre."
"Sequoia","porter secours","§ ['porté', 'secours'] : Elle a été condamnée parce qu'en tant que médecin, elle a porté secours à des blessés des deux camps.  § ['porté', 'secours'] : Dans un premier temps, les occupants de la voiture doublée ont porté secours aux victimes."
"Sequoia","se comporter","§ ['se', 'comportent'] : Nous ne pouvons pas seulement exiger que les Serbes se comportent correctement, nous devons également obliger ceux à qui nous sommes venus en aide à ne pas répondre à la violence par la violence.  § ['se', 'comportent'] : C'est pourquoi je crois également que nous devons exiger que ceux que nous avons secourus se comportent réellement, eux aussi, correctement."
"Sequoia","venir en aide","§ ['venus', 'en', 'aide'] : Nous ne pouvons pas seulement exiger que les Serbes se comportent correctement, nous devons également obliger ceux à qui nous sommes venus en aide à ne pas répondre à la violence par la violence.  § ['viennent', 'en', 'aide'] : Nous estimons qu'ils ne peuvent être punis parce qu'ils viennent volontairement en aide au Kosovo.  § ['venir', 'en', 'aide'] : Monsieur le Président, je tiens en tout cas à remercier le Parlement de son soutien en vue de venir en aide à la Mongolie."
"Sequoia","y avoir t il","§ ['Y', 'a', '-t', '-il'] : Y a-t-il des circonstances dans lesquelles la Commission chercherait à utiliser le vote à la majorité qualifiée pour l'un de ces sujets ?"
"Sequoia","se apercevoir","§ [""s'"", 'aperçoit'] : On s'en aperçoit aux nombreuses lettres que nous recevons des organisations environnementales mais aussi du secteur économique, avec à sa tête l'industrie du ciment, bien entendu, mais également beaucoup d'autres secteurs, comme l'industrie de transformation du bois, l'industrie du papier, l'industrie de transformation du métal, etc.  § [""S'"", 'apercevant'] : S'apercevant que son mari avait soudainement perdu connaissance, l'épouse, passagère avant, a tenté de garder le véhicule en ligne droite en se saisissant du volant."
"Sequoia","se réjouir","§ ['me', 'réjouir'] : Monsieur le Président, au nom du groupe du parti des socialistes européens, je voudrais me réjouir de la proposition de résolution de Mme Malmström.  § ['me', 'réjouis'] : Je me réjouis de la concentration proposée sur la promotion de nouveaux moyens de lutte contre la discrimination et toute autre forme d'inégalité au sein du marché de l'emploi."
"Sequoia","il falloir","§ ['il', 'faut'] : Je crois aussi qu'il faut accorder une attention particulière -c'est l'objet d'un amendement que nous présenterons demain en plénière- au droit à la vie privée.  § ['il', 'faut'] : il faut que l'Union européenne gère les budgets nationaux pour la recherche spatiale.  § ['il', 'faut'] : Avant de leur administrer Aclasta, il faut mesurer les taux sériques de créatinine des patients."
