"sous_corpus","expression","Phrase(s)"
"Sequoia","fournir travail","§ ['fournir', 'travail'] : Nous avons dès lors décidé, même si on ne nous avait pas demandé d'élaborer de nouvelle proposition, de fournir un travail supplémentaire pour clarifier les options politiques qui sont sur la table et de présenter une nouvelle proposition au Conseil."
"ESLO_ANCOR","prendre position","§ ['prend', 'position'] : oui euh par exemple on nous a reproché nous en tant je pars toujours en tant qu' organisation syndicale de ne pas avoir été assez loin de ne pas avoir euh fait davantage dans la conjoncture euh internationale nationale d' abord et internationale par la suite ça nous était pas possible d' aller d' aller tellement plus loin c' était pas le but le but de l' action des r- des travailleurs c' était une action revendicative ça n' était pas une action politique d' ailleurs c' est le but des syndicats les la politique on le laisse aux partis politiques ce qu' on peut dire notre accord vis-à-vis d' un parti politique quand il prend une position en faveur des tavailleurs on peut on peut dire que nous on est d' accord avec sa position mais là ça n' était pas un but politique c' était surtout un but revendicatif et au point de vue revendication il est certain que les travailleurs ont obtenu beau- quand même euh pas mal de choses les salaires la prise de conscience de leur force et aussi les avantages qui sont pas négligeables les le droit syndical à l' entreprise qui permet aux travailleurs d' aller discuter enfin par l' intermédiaire de délégués avec des employeurs et é- évi- effectivement euh actuellement on assiste à une montée des prix mais elle n' est pas forcément due aussi à l' augmentation des salaires ni aux évènements de mai il y a pour nous euh l' incorporation de la T V A depuis le premier janvier dans le prix de vente des marchandises qui augmente considérablement les marchandises notre vendeur est parti mais il pourrait vous dire que euh le prix marchandise qui est reçu à cinq francs dans un magasin est revendu à mille francs alors vous voyez ça culbute d' où la l' incorporation de la TVA puis le bénéfice du du patron bien sûr alors cette euh augmentation des sal- des prix n' est pas due à l' augmentation euh des salaires en mai et juin ça suffit pas pour expliquer l' augmentation des prix"
"ESLO_ANCOR","avoir rôle","§ ['a', 'rôle'] : oui parce que euh vous savez euh on dit on met toujours ça sur le rôle de l' instituteur ah l' instituteur il en fait il il fait sa classe il n' en fait à il a son rôle mais à la maison la maison moi je trouve que c' est c' est primordial euh les les l' ambiance de la maison euh ce que les enfants entendent ce que les enfants voient euh c' est primordial des fois des fois ça leur convient pas toujours mais ils y viennent et parce que ils veulent pas être imposés mais ils y viennent automatiquement ils y viennent et je trouve que c' est surtout ça la"
"ESLO_ANCOR","avoir idée","§ ['ont', 'idées'] : ce que l' école devrait apprendre aux enfants ben ça on sait pas trop ce qu' ils devraient l' école devrait apprendre aux enfants parce que je crois que ce sont ça c' est un travail de professeurs c' est pas un travail de parents les parents ont des idées qui sont complètement fausses parce qu' ils ne suivent pas l' évolution comme les professeurs peuvent la suivre je crois qu' ils doivent leur apprendre évidemment les notions élémentaires ils doivent leur apprendre à compter et à à bien s' exprimer à calculer un tas de choses mais euh je crois qu' ils devraient leur apprendre que l' école est surtout un début mais ce n' est pas une fin en soi quand on sort de l' école on sait rien du tout et que le combat commence à la sortie de l' école  § ['ont', 'idées'] : bah je crois que c' est là que les lycées ont quand même euh un gros travail à faire c' est à eux de le faire c'est-à-dire les enfants ont des idées tordues euh les parents ils ont des idées tordues ils ont les ils ont ils ont les idées euh qu' ils connaissent ils n' ont pas tandis que les professeurs ont quand même euh des idées beaucoup plus larges que nous  § ['avoir', 'idées'] : et euh si je voulais euh m' en occuper je pense qu' il faudrait vraiment s' en occuper à fond euh ça peut être un bien ça peut être un mal euh ça dépend ce qu' on entend par participation je crois que il ne faut pas faire de démagogie les enfants sont à l' école d' abord il y a il y a plusieurs âges il y a les des gens les les écoles secondaires et l' université l' université on a affaire à des gens à des hommes on a affaire à des gens de dix-huit vingt ans quelquefois plus ce n' est pas le même problème que pour les lycéens je crois que pour les lycéens euh moi je pense que c' est une erreur dans mon âge c' était un bonheur d' aller à l' école d' aller au lycée on supportait on subissait et je crois que c' est un peu oui c' est un peu normal la participation peut intervenir sur euh certaines choses mais pas sur les choses prépondérantes je crois qu' il faut se plier à une certaine discipline parce que dans la vie de toute façon on se plie à la discipline on se plie à la discipline et si j' ai trois cents ouvriers sous mes ordres ils se plient à la discipline du patron et moi je me plie à la discipline du mien alors euh il faut aussi les apprendre et les discipliner il ne faut pas que ça tombe dans l' anarchie ou dans la dogm- ou faire de et il y a beaucoup de gens euh beaucoup de professeurs je crois euh beaucoup de patrons qui font de la démagogie je crois que c' est une erreur quand on est un homme il faut garder avoir ses idées et les garder elles sont bonnes elles sont mauvaises mais il ne faut pas non plus euh plier aux aux premières difficultés absolument pas ça ne veut pas dire que il faut remettre en vigueur les les verges dans les lycées pour fouetter les enfants absolument pas ça euh je crois que les les lycéens peuvent peut-être avoir droit de de consultations on peut leur demander leur avis mais ça ne doit pas tellement influer sur le la direction de du lycée je pense pas tandis que à l'"
"Sequoia","remporter succès","§ ['remporte', 'succès'] : Bourse dédiée aux passionnés et amateurs reposant sur le principe du troc et qui remporte un vif succès."
"ESLO_ANCOR","produire résultat","§ ['produit', 'résultat'] : ça a peut-être produit ce résultat"
"Sequoia","trouver refuge","§ ['trouver', 'refuge'] : Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."
"ESLO_ANCOR","exercer contrôle","§ ['exercer', 'contrôle'] : et comment devrait- on exercer ce contrôle ?  § ['exercer', 'contrôle'] : oui oui comment devrait- on exercer cet ce contrôle alors ça c' est difficile n' est -ce pas ?"
"ESLO_ANCOR","influence avoir","§ ['influence', 'a'] : euh oui oui d' accord oui ça euh d' accord mais enfin euh sur le plan si vous voulez de des de la conduction de euh de la direction du pays il n' ont certainement pas plus d' influence que n' en a euh la reine d' Angleterre"
"ESLO_ANCOR, ESLO_CO2","lui poser question","§ ['vous', 'poser', 'question'] : ou pour faire rire peut-être je vais vous poser une question  § ['vous', 'poser', 'question'] : j' aimerais vous poser une dernière question mais alors vous n' êtes pas obligée d' y répondre est -ce qu' il y a un parti politique qui représente bien vos opinions  § ['vous', 'pose', 'question'] : je vous pose la question"
