sous-corpus,Expression,forme canonique,Q1avg,Q2avg,Q3avg,Moyenne 1-2 (3),Q4avg,Moyenne,Degré,Q1std,Q2std,Q4std,Q1cv,Q2cv,Q4cv,Q4degre
Sequoia,fournir travail,fournir travail,2.8,4.333333333,#DIV/0!,3.566666667,4.1,3.833333333,moyen,1.27,0.94,1.272792206,0.4526941272,0.2175713173,0.3104371234,fort
Sequoia,remporter succès,remporter succès,2.8,4.666666667,#DIV/0!,3.733333333,4,3.866666667,moyen,1.07,0.47,0.8164965809,0.3813242233,0.1010152545,0.2041241452,fort
Sequoia,trouver refuge,trouver refuge,3.366666667,4,#DIV/0!,3.683333333,4.333333333,4.008333333,fort,1.19,0.82,0.9428090416,0.353397392,0.2041241452,0.2175713173,fort
Sequoia,revêtir caractère,revêtir caractère,1.966666667,3.666666667,#DIV/0!,2.816666667,2.8,2.808333333,moyen,0.33,0.47,0.5887840578,0.1677880498,0.1285648693,0.2102800206,moyen
Sequoia,avoir air,avoir air,2,4,#DIV/0!,3,3.2,3.1,moyen,0.83,0.82,0.3741657387,0.4143267632,0.2041241452,0.1169267933,moyen
Sequoia,classer sans suite,classer sans suite,3.266666667,2.333333333,5,3.533333333,3.1,3.316666667,moyen,0.74,0.94,1.023067284,0.2267970487,0.4040610178,0.3300217044,moyen
Sequoia,entraîner irrégularité,entraîner irrégularité,3.133333333,4.333333333,#DIV/0!,3.733333333,4.433333333,4.083333333,fort,0.33,0.94,0.6018490028,0.1053137759,0.2175713173,0.1357554142,fort
Sequoia,enquête réaliser,réaliser enquête,3.366666667,4.666666667,#DIV/0!,4.016666667,4.533333333,4.275,fort,0.87,0.47,0.3299831646,0.2593227892,0.1010152545,0.07279040395,fort
Sequoia,effectuer liaison,effectuer liaison,3.133333333,3.666666667,#DIV/0!,3.4,4.533333333,3.966666667,moyen,0.33,0.47,0.3299831646,0.1053137759,0.1285648693,0.07279040395,fort
Sequoia,couper le herbe sous le pied,couper l'herbe sous le pied,2.433333333,1,0.5,1.311111111,1.166666667,1.238888889,faible,0.87,0.82,0.3091206165,0.3587890645,0.8164965809,0.2649605284,faible
Sequoia,mettre en scène,mettre en scène,2.666666667,3,#DIV/0!,2.833333333,2.966666667,2.9,moyen,0.33,0.82,0.9672412086,0.1237436867,0.272165527,0.3260363624,moyen
Sequoia,prendre à partie,prendre à partie,2.333333333,1.333333333,#DIV/0!,1.833333333,1.833333333,1.833333333,faible,0.42,1.25,0.8730533902,0.1795686441,0.9354143467,0.4762109401,faible
Sequoia,faire partie,faire partie,1.866666667,3.666666667,#DIV/0!,2.766666667,3.066666667,2.916666667,moyen,0.74,1.25,0.3858612301,0.3968948352,0.3401506715,0.1258243142,moyen
Sequoia,entretien accorder,accorder entretien,3.033333333,4.333333333,#DIV/0!,3.683333333,3.966666667,3.825,moyen,0.42,0.94,0.740870359,0.1381297263,0.2175713173,0.1867740401,moyen
Sequoia,audition conduire,conduire audition,2.566666667,4.333333333,#DIV/0!,3.45,3.833333333,3.641666667,moyen,1.01,0.94,0.8730533902,0.3926289989,0.2175713173,0.2277530583,moyen
Sequoia,chasser sur le terre,chasser sur les terres,2.9,1.666666667,#DIV/0!,2.283333333,1.933333333,2.108333333,moyen,0.99,1.25,0.6944222219,0.3413618944,0.7483314774,0.3591839079,faible
Sequoia,donner permission,donner permission,3.133333333,4.333333333,#DIV/0!,3.733333333,3.866666667,3.8,moyen,0.87,0.94,0.3091206165,0.2786340607,0.2175713173,0.07994498703,moyen
Sequoia,recevoir coup de fil,recevoir coup de fil,3.366666667,3,1,2.455555556,3.833333333,3.144444444,moyen,0.33,1.63,0.3299831646,0.09801480135,0.544331054,0.08608256467,moyen
Sequoia,avoir trait,avoir trait,1.933333333,3,#DIV/0!,2.466666667,1.5,1.983333333,faible,1.35,1.41,0.9416297928,0.696944239,0.4714045208,0.6277531952,faible
Sequoia,mettre en pratique,mettre en pratique,2.666666667,4.333333333,#DIV/0!,3.5,3,3.25,moyen,0.66,0.47,0.2449489743,0.2474873734,0.1087856586,0.08164965809,moyen
Sequoia,en croire,en croire,4.3,1.333333333,#DIV/0!,2.816666667,3.066666667,2.941666667,moyen,0.57,1.25,0.3299831646,0.13155475,0.9354143467,0.1076032058,moyen
Sequoia,prendre en otage,prendre en otage,3.133333333,4.333333333,#DIV/0!,3.733333333,3.566666667,3.65,moyen,0.33,0.94,0.6018490028,0.1053137759,0.2175713173,0.1687427111,moyen
Sequoia,succès rencontrer,rencontrer succès,2.333333333,4.666666667,#DIV/0!,3.5,3.633333333,3.566666667,moyen,0.91,0.47,0.2867441756,0.3901857224,0.1010152545,0.07892041529,moyen
Sequoia,traiter par le mépris,traiter par le mépris,4.3,2.333333333,#DIV/0!,3.316666667,3,3.158333333,moyen,0.57,0.47,0.9899494937,0.1329180481,0.2020305089,0.3299831646,moyen
Sequoia,avoir occasion,avoir occasion,2.466666667,5,#DIV/0!,3.733333333,3.5,3.616666667,moyen,1.40,0.00,0.5887840578,0.5678892267,0,0.1682240165,moyen
ESLO_ANCOR,être il temps,il est temps,1.2,4,#DIV/0!,2.6,1.525,2.0625,moyen,1.10,1.22,0.909326674,0.9185586535,0.3061862178,0.5962797862,faible
