sous-corpus,Expression,forme canonique,Q1avg,Q2avg,Q3avg,Moyenne 1-2 (3),Q4avg,Moyenne,Degré,Q1std,Q2std,Q4std,Q1cv,Q2cv,Q4cv,Q4degre
ESLO_ANCOR,prendre position,prendre position,1.85,3.75,#DIV/0!,2.8,2.925,2.8625,moyen,0.35,0.83,0.5539629952,0.1891891892,0.2211083194,0.1893890582,moyen
ESLO_ANCOR,avoir rôle,avoir rôle,1.875,4.5,#DIV/0!,3.1875,3.95,3.56875,moyen,0.75,0.87,0.7826237921,0.399777716,0.1924500897,0.1981326056,moyen
ESLO_ANCOR,avoir idée,avoir idée,2.225,5,#DIV/0!,3.6125,3.95,3.78125,moyen,1.28,0.00,0.7826237921,0.576766866,0,0.1981326056,moyen
ESLO_ANCOR,produire résultat,produire résultat,3.075,4.5,#DIV/0!,3.7875,4.125,3.95625,moyen,1.04,0.87,0.7628073151,0.3366874673,0.1924500897,0.1849229855,fort
ESLO_ANCOR,exercer contrôle,exercer contrôle,2.9,4.5,#DIV/0!,3.7,3.975,3.8375,moyen,0.99,0.87,0.8728545125,0.3413618944,0.1924500897,0.2195860409,moyen
ESLO_ANCOR,influence avoir,avoir influence,1.95,5,#DIV/0!,3.475,3.8,3.6375,moyen,0.96,0.00,0.9192388155,0.4925480183,0,0.2419049515,moyen
ESLO_ANCOR,avoir possibilité,avoir possibilité,2.225,4.25,#DIV/0!,3.2375,3.625,3.43125,moyen,1.28,1.30,1.075581238,0.576766866,0.3056560249,0.2967120657,moyen
ESLO_ANCOR,avoir intérêt,avoir intérêt,2.225,4.25,#DIV/0!,3.2375,3.45,3.34375,moyen,1.28,0.83,0.6103277808,0.576766866,0.1950955759,0.1769066031,moyen
ESLO_ANCOR,prendre le temps,prendre le temps,2.3,4,0,2.1,3.2,2.65,moyen,0.62,1.22,0.5338539126,0.2680180001,0.3061862178,0.1668293477,moyen
emea,avoir fracture,avoir fracture,2.05,5,#DIV/0!,3.525,3.95,3.7375,moyen,1.01,0.00,0.7826237921,0.4908441902,0,0.1981326056,moyen
ESLO_ANCOR,faire recherche,faire recherche,2.05,4.75,#DIV/0!,3.4,3.7,3.55,moyen,1.30,0.43,0.790569415,0.6364872366,0.09116056882,0.2136674095,moyen
ESLO_ANCOR,exercer activité,exercer activité,2.725,4,#DIV/0!,3.3625,4.125,3.74375,moyen,1.04,0.71,0.7628073151,0.3799317292,0.1767766953,0.1849229855,fort
ESLO_ANCOR,effort faire,faire effort,2.3,4.75,#DIV/0!,3.525,3.95,3.7375,moyen,0.79,0.43,0.7826237921,0.3437258326,0.09116056882,0.1981326056,moyen
ESLO_ANCOR,avoir contact,avoir contact,1.875,4.5,#DIV/0!,3.1875,3.95,3.56875,moyen,1.03,0.50,0.7826237921,0.5469917732,0.1111111111,0.1981326056,moyen
emea,diriger se,se diriger,3.7,2.75,#DIV/0!,3.225,3.5,3.3625,moyen,0.95,1.64,1.365650028,0.2571121296,0.5961307749,0.3901857224,moyen
frwiki,ordonnance signer,signer ordonnance,3.075,4.25,#DIV/0!,3.6625,3.725,3.69375,moyen,1.34,1.30,1.512241713,0.4371383759,0.3056560249,0.4059709298,moyen
ESLO_ANCOR,enseignement donner,donner enseignement,2.55,4.333333333,2,2.961111111,4.575,3.768055556,moyen,0.78,0.94,0.4380353867,0.306911291,0.2175713173,0.09574543972,fort
ESLO_ANCOR,passer vacance,passer vacance,2.3,4.75,#DIV/0!,3.525,3.525,3.525,moyen,1.17,0.43,0.5117372373,0.5070392952,0.09116056882,0.1451736843,moyen
frwiki,combat mener,mener combat,2.2,4,#DIV/0!,3.1,3.375,3.2375,moyen,0.70,0.71,1.096300597,0.3181818182,0.1767766953,0.3248298067,moyen
ESLO_ANCOR,avoir conséquence,avoir conséquence,1.8,5,#DIV/0!,3.4,3.7,3.55,moyen,1.06,0.00,0.6164414003,0.589255651,0,0.1666057839,moyen
ESLO_ANCOR,prendre cours,prendre cours,2.375,4.5,#DIV/0!,3.4375,3.425,3.43125,moyen,0.91,0.87,0.5804093383,0.382874389,0.1924500897,0.1694625805,moyen
ESLO_ANCOR,avoir connaissance,avoir connaissance,2.666666667,5,#DIV/0!,3.833333333,3.5,3.666666667,moyen,1.19,0.00,0.5887840578,0.4461642074,0,0.1682240165,moyen
ESLO_ANCOR,avoir besoin,avoir besoin,2.225,4.75,#DIV/0!,3.4875,3.55,3.51875,moyen,1.28,0.43,0.5024937811,0.576766866,0.09116056882,0.141547544,moyen
ESLO_ANCOR,avoir intention,avoir intention,2.225,5,#DIV/0!,3.6125,3.8,3.70625,moyen,1.28,0.00,0.8860022573,0.576766866,0,0.2331584888,moyen
ESLO_ANCOR,donner impression,donner impression,2.475,4.5,#DIV/0!,3.4875,3.475,3.48125,moyen,1.15,0.87,0.9148087232,0.4627762097,0.1924500897,0.2632543088,moyen
emea,subir traitement,subir traitement,2.725,4.5,#DIV/0!,3.6125,3.95,3.78125,moyen,1.04,0.87,0.7826237921,0.3799317292,0.1924500897,0.1981326056,moyen
emea,étude mener,mener étude,2.025,4.75,#DIV/0!,3.3875,3.775,3.58125,moyen,0.58,0.43,0.7628073151,0.2866218955,0.09116056882,0.2020681629,moyen
"ESLO_ANCOR, ESLO_CO2",prendre sanction,prendre sanction,2.375,4.5,#DIV/0!,3.4375,3.775,3.60625,moyen,0.91,0.87,0.5804093383,0.382874389,0.1924500897,0.1537508181,moyen
emea,atteindre insuffisance,atteindre insuffisance,1.8,4.5,#DIV/0!,3.15,3.05,3.1,moyen,0.27,0.50,0.3354101966,0.1521451549,0.1111111111,0.1099705563,moyen
emea,présenter saignement,présenter saignement,2.3,4.75,#DIV/0!,3.525,3.075,3.3,moyen,0.37,0.43,0.5804093383,0.1597493311,0.09116056882,0.1887510043,moyen
