"sous_corpus","expression","Phrase(s)"
"frwiki","ordonnance signer","§ ['ordonnance', 'signé'] : Le 11 février 2004, l'ordonnance de renvoi devant le tribunal de 47 prévenus a été signé par le juge Armand Riberolles."
"frwiki","combat mener","§ ['combat', 'mené'] : combat contre les institutions, mené sans relâche, qui dura près de deux décennies et qui, en dehors de son activité d'institutrice, l'occupa à plein temps."
"frwiki","porter nom","§ ['porte', 'nom'] : L'école de Percy porte le nom de ""Blanche et Théophile Maupas"" depuis 1998."
"emea","souffrir de maladie","§ ['souffrant', 'de', 'maladie'] : Aclasta ne doit être utilisé, chez les patients souffrant de la maladie osseuse de Paget, que par un médecin expérimenté dans le traitement de cette maladie."
"emea","avoir fracture","§ ['eu', 'fracture'] : Chez les patients ayant eu une fracture de hanche récente secondaire à un traumatisme modéré, il est recommandé de réaliser l'administration d'Aclasta 2 semaines ou plus après l'intervention sur la fracture (voir rubrique 5.1).  § ['eu', 'fracture'] : Dans le cas où vous avez eu récemment une fracture de hanche, il est recommandé qu'Aclasta soit administré 2 semaines ou plus après réparation de votre fracture.  § ['eu', 'fracture'] : Chez les patients ayant eu récemment une fracture de hanche, il est recommandé d'administrer Aclasta 2 semaines ou plus après réparation de la fracture."
"emea","présenter symptôme","§ ['présentant', 'symptômes'] : Le pourcentage de patients présentant des symptômes après l'injection était respectivement de 19,5%, 10,4%, 10,7% après la première, deuxième et troisième perfusion, dans une étude de plus petite taille où le traitement symptomatique décrit ci-dessous avait été utilisé."
"emea","recevoir perfusion","§ ['reçu', 'perfusion'] : 95% d'entre eux ont reçu leur perfusion 2 semaines ou plus après intervention sur la fracture."
"emea","atteindre maladie","§ ['atteints', 'maladie'] : Aclasta a été étudié chez des hommes et femmes âgés de plus de 30 ans atteints de la maladie de Paget principalement légère à modérée (taux médians de phosphatases alcalines sériques 2,6 à 3,0 fois la limite supérieure de la normale en fonction de l'âge à l'inclusion dans l'étude) et confirmée par radiographies."
"emea","souffrir de syndrome","§ ['souffrant', 'de', 'syndrome'] : Angiox est utilisé pour traiter les patients adultes souffrant de ""syndrome coronaire aigu"" (SCA, réduction du flux sanguin vers le coeur), comme un angor instable (douleurs thoraciques de gravité variable) ou un infarctus du myocarde (crise cardiaque) sans ""sus-décalage du segment ST"" (relevé anormal à l'électrocardiogramme ou ECG)."
"emea","subir traitement","§ ['subir', 'traitement'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien.  § ['subir', 'traitement'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien."
"emea","subir angioplastie","§ ['subissant', 'angioplastie'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien."
"emea","subir pontage","§ ['subissant', 'pontage'] : Il est utilisé en conjonction avec de l'aspirine et du clopidogel (médicaments contribuant à prévenir les caillots sanguins) chez les patients sur le point de subir un traitement pour leur SCA, comme un traitement médicamenteux, subissant une angioplastie ou un pontage coronarien."
"emea","atteindre SCA","§ ['atteints', 'SCA'] : Pour les patients atteints d'un SCA, la dose initiale recommandée est un bolus intraveineux de 0,1 mg/kg suivi d'une perfusion de 0,25 mg/kg/h."
"emea","présenter saignement","§ ['présentant', 'saignement'] : présentant un saignement actif ou un risque accru de saignement en raison de troubles de l'hémostase et/ou de troubles irréversibles de la coagulation ;"
"emea","étude réaliser","§ ['études', 'réalisées'] : Des études d'interactions médicamenteuses ont été réalisées avec des inhibiteurs plaquettaires, notamment l'acide acétylsalicylique, la ticlopidine, le clopidogrel, l'abciximab, l'eptifibatide ou le tirofiban."
"emea","étude mener","§ ['étude', 'menée'] : Les données suivantes relatives aux réactions indésirables sont basées sur une étude clinique menée avec la bivalirudine chez 13 819 patients atteints de SCA ;  § ['étude', 'menée'] : Les données suivantes relatives aux réactions indésirables sont basées sur une étude clinique (REPLACE 2) menée avec la bivalirudine chez 6000 patients subissant une ICP, dont la moitié ont été traités par bivalirudine."
"emea","atteindre insuffisance","§ ['atteints', 'insuffisance'] : Elle est réduite d'environ 20% chez les patients atteints d'insuffisance rénale modérée ou sévère et de 80% chez les patients dépendants de la dialyse (Tableau 11).  § ['atteints', 'insuffisance'] : Chez les patients atteints d'insuffisance rénale, les paramètres de la coagulation tels que l'ACT peuvent être monitorés pendant un traitement par Angiox."
"emea","diriger se","§ ['dirigez', 'vous'] : Après votre sortie de l'hôpital : dirigez vous immédiatement au service des urgences de l'hôpital le plus proche"
"annodisER","action entreprendre","§ ['actions', 'entreprises'] : Il rappelle néanmoins un certain nombre d'actions entreprises par le gouvernement, et plus particulièrement la mise en place du groupe de travail, réuni pour la première fois il y a quelques jours."
