,LEFT_NAME,RIGHT_NAME,M1_CONTENT,M2_CONTENT,TRUE_DISTANCE_MENTION,M1_TYPE,M1_GP,M1_GENRE,M1_NB,M1_EN,M2_TYPE,M2_GP,M2_GENRE,M2_NB,M2_EN,ID_FORM,ID_SUBFORM,ID_EN,ID_GP,ID_GENRE,ID_NB,ID_PREV,ID_NEXT,ID_SPK,ID_TYPE,EMBEDDED,INCL_RATE,COM_RATE,DISTANCE_MENTION,DISTANCE_WORD,DISTANCE_CHAR
0,128,129,de mèche .,Il,0,0,0,1,0,8,1,0,0,0,8,1,1,0,0,1,0,2,2,2,1,1,0,0,0,0,0
1,133,135,l',une fois,1,0,0,2,2,8,0,1,1,2,8,1,1,0,1,2,2,2,2,2,0,1,0,0,0,3,5
2,305,309,l' avance,"Saint-Maurice ,",3,0,0,2,2,8,2,0,0,0,8,1,1,0,0,2,2,2,2,2,2,1,0,0,1,3,6
3,104,107,la commune de Menoncourt,la Toussaint 2001,2,0,0,1,0,8,2,0,0,0,8,1,1,0,0,1,0,2,2,2,2,1,1,2,1,2,4
4,15,16,le médecin,une « pyromanie pathologique,0,0,1,0,0,8,2,1,2,0,8,1,1,0,0,2,0,2,2,2,2,1,0,0,0,2,4
5,16,21,une « pyromanie pathologique,"le jeune homme ,",4,2,1,2,0,8,0,1,0,0,8,1,1,0,0,2,0,2,2,2,2,1,0,0,2,3,6
6,341,344,des grillades,des légendes locales,2,0,1,1,1,8,0,1,1,1,8,1,1,0,0,0,0,2,2,2,0,1,1,2,1,2,5
7,384,389,le bar des Démineurs,Territoire de Belfort .,4,0,0,0,0,8,0,0,2,0,8,1,1,0,0,2,0,2,2,2,0,1,0,0,2,3,5
8,247,250,Le seul point positif,table,2,0,1,0,0,8,0,0,1,0,8,1,1,0,1,1,0,2,2,2,0,1,0,0,1,3,6
9,245,246,la pluie .,« Le seul point positif,0,0,0,1,0,8,2,1,2,2,8,1,1,0,1,2,2,2,2,2,2,1,0,0,0,0,0
10,359,362,sa route,soi,2,0,1,1,0,8,0,0,0,0,8,1,1,0,1,1,0,2,2,2,0,1,0,0,1,3,5
11,280,285,Nordistes,leur matériel de ski,4,2,1,2,2,0,0,0,0,0,8,1,1,1,1,2,2,2,2,2,2,1,0,0,2,3,6
12,215,220,le courrier,sa course,4,0,1,0,0,8,0,1,1,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,2,3,6
13,342,343,on,du massif,0,1,1,2,0,8,0,0,0,0,8,1,1,0,1,2,0,2,2,2,1,1,0,0,0,1,3
14,61,66,Je,le feu,4,1,1,2,0,8,0,0,0,0,8,1,1,0,1,2,0,2,2,2,1,1,0,0,2,4,6
15,67,71,J',la Toussaint,3,0,1,2,2,8,2,0,0,0,8,1,1,0,1,2,2,2,2,2,2,1,0,0,1,3,6
16,45,50,deux mois de prison,une obligation de soins .,4,0,0,0,1,8,0,0,1,0,8,1,1,0,0,1,1,2,2,2,0,1,1,1,2,3,5
17,54,58,il,l' alcool »,3,1,0,0,0,8,0,0,2,2,8,1,1,0,0,2,2,2,2,2,1,1,0,0,1,3,4
18,275,276,des gîtes,la tête des Redoutes,0,0,0,0,1,8,0,0,1,0,8,1,1,0,0,1,1,2,2,2,0,1,1,2,0,2,4
19,123,126,hydrocarbure,d' essence,2,0,1,1,0,8,2,0,2,2,8,1,1,0,1,2,2,2,2,2,2,1,0,0,1,3,5
20,76,79,"mon frère ,",Cela,2,0,0,0,0,8,1,1,2,0,8,1,1,0,1,2,0,2,2,2,1,1,0,0,1,3,6
21,64,65,Je,cette fascination,0,1,1,2,0,8,0,1,1,0,8,1,1,0,0,2,0,2,2,2,1,1,0,0,0,2,4
22,393,395,La neige,une croix,1,0,1,1,0,8,0,1,1,0,8,1,1,0,0,0,0,2,2,2,0,1,0,0,0,2,3
23,192,196,"Lachapelle-sous-Chaux ,","L' animation ,",3,0,0,0,1,8,0,1,2,2,8,1,1,0,1,2,2,2,2,2,0,1,1,2,1,3,5
24,194,196,du Nouvel An,"L' animation ,",1,0,0,2,2,8,0,1,2,2,8,1,1,0,1,2,2,2,2,2,0,1,0,0,0,2,4
25,267,272,des démineurs,midi .,4,0,0,0,1,8,0,0,0,0,8,1,1,0,0,0,1,2,2,2,0,1,0,0,2,4,6
26,139,142,"gendarmerie ,",Titulaire d' une maîtrise en sciences,2,0,0,1,0,8,0,0,2,0,8,1,1,0,0,2,0,2,2,2,0,1,0,0,1,3,5
27,270,274,du sommet,le 31,3,0,0,0,0,8,2,1,2,2,8,1,1,0,1,2,2,2,2,2,2,1,0,0,1,3,6
28,143,146,une maîtrise en sciences,arrêt maladie,2,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,1,2,5
29,239,243,passage,aux hauteurs,3,0,0,0,0,8,0,0,0,1,8,1,1,0,0,0,1,2,2,2,0,1,0,0,1,3,5
30,61,63,Je,l' époque,1,1,1,2,0,8,0,0,2,2,8,1,1,0,1,2,2,2,2,2,1,1,0,0,0,3,5
31,167,172,Les lettres,hier matin,4,0,1,1,1,8,0,1,0,0,8,1,1,0,0,1,1,2,2,2,0,1,0,0,2,4,7
32,78,83,Mon frère,Je,4,0,1,0,0,8,1,1,2,0,8,1,1,0,0,2,0,2,2,2,1,1,0,0,2,4,6
33,124,126,au sol,d' essence,1,0,0,0,0,8,2,0,2,2,8,1,1,0,0,2,2,2,2,2,2,1,0,0,0,1,3
34,257,261,l' auberge du Ballon,"mardi ,",3,0,0,2,2,8,0,1,0,0,8,1,1,0,1,2,2,2,2,2,0,1,0,0,1,2,5
35,85,87,le 13 novembre dernier,le tribunal correctionnel de Belfort .,1,2,1,2,2,8,0,0,0,0,8,1,1,0,1,2,2,2,2,2,2,1,0,1,0,1,3
36,315,319,Le Langenberg,un trait,3,2,1,0,0,8,0,1,0,0,8,1,1,0,0,0,0,2,2,2,2,1,0,0,1,4,6
37,262,264,la Chaumière,le magasin de souvenirs des démineurs,1,2,1,1,0,8,0,0,0,0,8,1,1,0,1,1,0,2,2,2,2,1,0,0,0,1,3
38,40,44,charge médicale,Franck,3,0,0,1,0,8,2,1,0,0,2,1,1,1,1,1,0,2,2,2,2,1,0,0,1,3,5
39,206,210,départ,la poste terrestre,3,0,0,0,0,8,0,1,1,0,8,1,1,0,1,1,0,2,2,2,0,1,0,0,1,4,6
40,148,152,de longs mois,un médecin généraliste,3,0,0,0,1,8,0,0,0,0,8,1,1,0,0,0,1,2,2,2,0,1,0,0,1,3,6
41,109,112,une bouteille de gaz,un morceau de bois,2,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,1,1,1,3,5
42,81,82,m',des cauchemars,0,0,1,0,2,8,0,1,0,1,8,1,1,0,0,0,2,2,2,2,0,1,0,0,0,2,3
43,179,184,cette occasion,courrier transporté par montgolfière,4,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,2,4,6
44,309,314,"Saint-Maurice ,",des nouveaux arrivants,4,2,0,0,0,8,0,0,0,1,8,1,1,0,0,0,1,2,2,2,2,1,0,0,2,3,5
45,387,392,Vosges,La saison,4,2,0,0,0,0,0,1,1,0,8,1,1,1,1,1,0,2,2,2,2,1,0,0,2,3,5
46,261,262,"mardi ,",la Chaumière,0,0,1,0,0,8,2,1,1,0,8,1,1,0,0,1,0,2,2,2,2,1,0,0,0,0,0
47,63,67,l' époque,J',3,0,0,2,2,8,0,1,2,2,8,1,1,0,1,2,2,2,2,2,0,1,0,0,1,4,6
48,338,341,un feu de bois .,des grillades,2,0,0,0,0,8,0,1,1,1,8,1,1,0,1,1,1,2,2,2,0,1,0,0,1,2,3
49,364,369,ces derniers jours,quelques randonneurs,4,0,1,0,1,8,0,1,0,1,8,1,1,0,0,0,0,2,2,2,0,1,0,0,2,4,6
50,171,173,la tradition,l' aérodrome de Chaux,1,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,0,2,5
51,380,385,du Ballon,des Démineurs,4,0,0,0,0,8,0,0,0,1,8,1,1,0,0,0,1,2,2,2,0,1,0,0,2,3,5
52,337,341,un feu de bois,des grillades,3,0,0,0,0,8,0,1,1,1,8,1,1,0,1,1,1,2,2,2,0,1,0,0,1,2,4
53,27,31,au domicile familial .,ses idées noires,3,0,0,0,0,8,0,1,1,1,8,1,1,0,1,1,1,2,2,2,0,1,0,0,1,3,6
54,166,169,Les lettres,« Ballooning Adventures,2,0,1,1,1,8,2,1,2,2,8,1,1,0,0,2,2,2,2,2,2,1,0,0,1,4,7
55,202,206,de voeux,départ,3,0,0,0,1,8,0,0,0,0,8,1,1,0,0,0,1,2,2,2,0,1,0,0,1,3,5
56,108,112,le jeune homme,un morceau de bois,3,0,1,0,0,8,0,0,0,0,8,1,1,0,1,0,0,2,2,2,0,1,0,0,1,3,6
57,136,138,l' explosion attendue,gendarmerie,1,0,1,2,2,8,0,0,1,0,8,1,1,0,1,2,2,2,2,2,0,1,0,0,0,3,6
58,397,399,une journée de beau,la fréquentation,1,0,0,1,0,8,0,1,1,0,8,1,1,0,1,0,0,2,2,2,0,1,0,0,0,1,3
59,195,199,L' animation,plusieurs centaines de personnes,3,0,1,2,2,8,0,0,1,1,8,1,1,0,1,2,2,2,2,2,0,1,0,0,1,3,5
60,118,120,la station,Il,1,0,0,1,0,8,1,1,0,0,8,1,1,0,1,1,0,2,2,2,1,1,0,0,0,1,3
61,220,225,sa course,ses nouveaux locaux,4,0,1,1,0,8,0,0,0,1,8,1,1,0,1,1,1,2,2,2,0,1,0,0,2,4,6
62,107,108,la Toussaint 2001,le jeune homme,0,2,0,0,0,8,0,1,0,0,8,1,1,0,1,0,0,2,2,2,2,1,0,0,0,1,2
63,177,179,du jour de l' an,cette occasion,1,0,0,0,0,8,0,0,1,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,0,1,2
64,249,253,les gens,des produits régionaux,3,0,1,0,1,8,0,0,0,1,8,1,1,0,1,0,0,2,2,2,0,1,0,0,1,3,6
65,102,106,"la RN 83 ,",Le soir de la Toussaint 2001,3,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,1,1,1,3,5
66,329,334,petits groupes,où,4,0,0,0,1,8,1,1,2,2,8,1,1,0,1,2,2,2,2,2,1,1,0,0,2,3,6
67,336,341,la bougie,des grillades,4,0,0,1,0,8,0,1,1,1,8,1,1,0,1,0,1,2,2,2,0,1,0,0,2,3,5
68,37,41,manière urgente,Ce jour là,3,0,0,1,0,8,0,1,0,0,8,1,1,0,1,1,0,2,2,2,0,1,0,0,1,3,5
69,47,49,sursis,l' épreuve,1,0,0,0,0,8,0,0,2,2,8,1,1,0,0,2,2,2,2,2,0,1,0,0,0,2,4
70,161,166,Un coin de ciel dégagé,Les lettres,4,0,0,0,0,8,0,1,1,1,8,1,1,0,1,1,1,2,2,2,0,1,0,0,2,3,5
71,185,188,montgolfière,l' association,2,0,0,1,0,8,0,0,2,2,8,1,1,0,0,2,2,2,2,2,0,1,0,0,1,3,6
72,253,256,des produits régionaux,L' activité,2,0,0,0,1,8,0,1,2,2,8,1,1,0,1,2,2,2,2,2,0,1,0,0,1,2,5
73,372,373,du Ballon,les visages figés,0,0,0,0,0,8,0,1,0,1,8,1,1,0,1,0,1,2,2,2,0,1,0,0,0,1,3
74,178,183,l' an,la mention,4,0,0,2,2,8,0,1,1,0,8,1,1,0,1,2,2,2,2,2,0,1,0,0,2,4,6
75,188,190,l' association,la route,1,0,0,2,2,8,0,0,1,0,8,1,1,0,0,2,2,2,2,2,0,1,0,0,0,2,4
76,70,75,le feu,mon frère,4,0,0,0,0,8,0,0,0,0,8,1,1,0,0,0,0,2,2,2,0,1,0,0,2,4,6
77,85,86,le 13 novembre dernier,le tribunal correctionnel de Belfort,0,2,1,2,2,8,0,0,0,0,8,1,1,0,1,2,2,2,2,2,2,1,0,1,0,1,3
78,336,338,la bougie,un feu de bois .,1,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,0,1,4
79,56,61,l' effet de l' alcool »,Je,4,0,0,2,2,8,1,1,2,0,8,1,1,0,1,2,2,2,2,2,1,1,0,0,2,3,5
80,138,142,gendarmerie,Titulaire d' une maîtrise en sciences,3,0,0,1,0,8,0,0,2,0,8,1,1,0,0,2,0,2,2,2,0,1,0,0,1,3,5
81,215,219,le courrier,les cartes,3,0,1,0,0,8,0,1,1,1,8,1,1,0,0,1,1,2,2,2,0,1,0,0,1,3,5
82,396,399,le temps,la fréquentation,2,0,1,0,0,8,0,1,1,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,1,3,6
83,135,140,une fois,un témoin,4,0,1,1,2,8,0,0,0,0,8,1,1,0,1,1,2,2,2,2,0,1,0,0,2,4,6
84,350,354,Jean-Louis Fretti,cela,3,2,1,2,2,2,1,1,2,0,8,1,1,1,0,2,2,2,2,2,2,1,0,0,1,3,5
85,57,59,l' alcool,Menoncourt,1,0,0,2,2,8,2,0,0,0,0,1,1,1,0,2,2,2,2,2,2,1,0,0,0,1,3
86,194,197,du Nouvel An,qui,2,0,0,2,2,8,1,1,2,2,8,1,1,0,1,2,2,2,2,2,1,1,0,0,1,3,5
87,335,339,on,bois,3,1,1,2,0,8,0,0,0,0,8,1,1,0,1,2,0,2,2,2,1,1,0,0,1,3,5
88,374,375,la pluie cinglante,les jeans gorgés,0,0,0,1,0,8,0,0,2,1,8,1,1,0,0,2,1,2,2,2,0,1,0,0,0,1,3
89,166,168,Les lettres,L' association « Ballooning Adventures »,1,0,1,1,1,8,0,0,1,0,8,1,1,0,1,0,1,2,2,2,0,1,0,0,0,4,6
90,389,391,Territoire de Belfort .,On,1,0,0,2,0,8,1,1,0,0,8,1,1,0,1,2,0,2,2,2,1,1,0,0,0,1,1
91,285,288,leur matériel de ski,"la Gentiane , fidèle au poste",2,0,0,0,0,8,2,0,1,0,8,1,1,0,0,1,0,2,2,2,2,1,0,0,1,1,2
92,274,276,le 31,la tête des Redoutes,1,2,1,2,2,8,0,0,1,0,8,1,1,0,1,2,2,2,2,2,2,1,0,0,0,3,5
93,282,287,Parisiens,la Gentiane,4,0,1,0,1,0,2,0,1,0,8,1,1,1,1,1,1,2,2,2,2,1,0,0,2,4,6
94,357,359,le vent,sa route,1,0,0,0,0,8,0,1,1,0,8,1,1,0,1,1,0,2,2,2,0,1,0,0,0,3,5
95,237,239,le commerçant,passage,1,0,1,0,0,8,0,0,0,0,8,1,1,0,1,0,0,2,2,2,0,1,0,0,0,2,5
96,203,208,voeux,l' atterrissage,4,0,0,0,1,8,0,0,2,2,8,1,1,0,0,2,2,2,2,2,0,1,0,0,2,4,6
97,186,190,Cette année,la route,3,0,0,1,0,8,0,0,1,0,8,1,1,0,0,0,0,2,2,2,0,1,0,0,1,3,6
98,18,19,quelle manière,octobre 2001,0,0,0,1,0,8,0,0,0,0,8,1,1,0,0,1,0,2,2,2,0,1,0,0,0,1,3
99,97,100,Total »,"bordure de la RN 83 ,",2,2,1,2,2,8,0,0,1,0,8,1,1,0,1,2,2,2,2,2,2,1,0,0,1,2,4
100,24,28,"colère ,",Me Schneider,3,0,0,1,0,8,0,0,0,0,2,1,1,1,0,1,0,2,2,2,0,1,0,0,1,3,5
101,154,158,des psychotropes,montgolfière,3,0,1,1,1,8,0,0,1,0,8,1,1,0,1,0,1,2,2,2,0,1,0,0,1,3,5
102,199,201,plusieurs centaines de personnes,3.000 cartes de voeux,1,0,0,1,1,8,0,0,1,1,8,1,1,0,0,0,0,2,2,2,0,1,0,1,0,2,4
